Country Name,Latitude,Longitude
Myanmar,17.1750495,95.9999652
Middle East & North Africa (excluding high income),,
Montenegro,-29.6826112,-51.4687455
Mongolia,43.9382593,-79.2235563
Northern Mariana Islands,15.1753648,145.7379338
Mozambique,-19.302233,34.9144977
Mauritania,20.2540382,-9.2399263
Mauritius,-20.2759451,57.5703566
Malawi,-13.2687204,33.9301963
Malaysia,4.5693754,102.2656823
North America,51.0000002,-109.0
Namibia,-23.2335499,17.3231107
New Caledonia,-20.63784275,161.21176261225781
Niger,17.7356214,9.3238432
Nigeria,9.6000359,7.9999721
Nicaragua,12.6090157,-85.2936911
Netherlands,52.2434979,5.6343227
Norway,64.5731537,11.52803643954819
Nepal,28.3780464,83.9999901
Nauru,-0.5252306,166.9324426
New Zealand,-41.5000831,172.8344077
OECD members,,
Oman,21.0000287,57.0036901
Other small states,,
Pakistan,30.3308401,71.247499
Panama,8.559559,-81.1308434
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Palau,42.5717989,2.9600905
Papua New Guinea,-5.6816069,144.2489081
Poland,52.215933,19.134422
Pre-demographic dividend,,
Puerto Rico,18.2247706,-66.4858295
"Korea, Dem. People's Rep.",,
Portugal,39.6621648,-8.1353519
Paraguay,-23.3165935,-58.1693445
West Bank and Gaza,31.9049661,35.2023413
Pacific island small states,,
Post-demographic dividend,,
French Polynesia,-17.0243749,-144.6434898
Qatar,25.3336984,51.2295295
Romania,45.9852129,24.6859225
Russian Federation,64.6863136,97.7453061
Rwanda,-1.9646631,30.0644358
South Asia,1.35862245,103.93147757443202
Saudi Arabia,25.6242618,42.3528328
Sudan,10.9,6.5
Senegal,14.4750607,-14.4529612
Singapore,1.357107,103.8194992
Solomon Islands,-8.7053941,159.1070693851845
Sierra Leone,8.6400349,-11.8400269
El Salvador,13.8000382,-88.9140683
San Marino,43.9458623,12.458306
Somalia,8.3676771,49.083416
Serbia,44.024322850000004,21.07657433209902
Sub-Saharan Africa (excluding high income),,
South Sudan,7.8699431,29.6667897
Sub-Saharan Africa,,
Small states,38.8846357,-77.0157343
Sao Tome and Principe,0.9713095,7.02255
Suriname,4.1413025,-56.0771187
Slovak Republic,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
Sweden,59.6749712,14.5208584
Eswatini,-26.5624806,31.3991317
Sint Maarten (Dutch part),,
Seychelles,-4.6574977,55.4540146
Syrian Arab Republic,34.6401861,39.0494106
Turks and Caicos Islands,21.721746,-71.5527809
Chad,15.6134137,19.0156172
East Asia & Pacific (IDA & IBRD countries),,
Europe & Central Asia (IDA & IBRD countries),,
Togo,8.7800265,1.0199765
Thailand,14.8971921,100.83273
Tajikistan,38.6281733,70.8156541
Turkmenistan,39.3763807,59.3924609
Latin America & the Caribbean (IDA & IBRD countries),,
Timor-Leste,-8.7443169,126.063482
Middle East & North Africa (IDA & IBRD countries),,
Tonga,-19.9160819,-175.202642
South Asia (IDA & IBRD),,
Sub-Saharan Africa (IDA & IBRD countries),,
Trinidad and Tobago,10.7466905,-61.0840075
Tunisia,36.8002068,10.1857757
Turkiye,38.9597594,34.9249653
Tuvalu,-8.6405212,179.1582918181797
Tanzania,-6.5247123,35.7878438
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
Upper middle income,,
Uruguay,-32.8755548,-56.0201525
United States,39.7837304,-100.445882
Uzbekistan,41.32373,63.9528098
St. Vincent and the Grenadines,12.90447,-61.2765569
"Venezuela, RB",10.0736612,-69.35359440708659
British Virgin Islands,18.4024395,-64.5661642
Virgin Islands (U.S.),17.7289564,-64.75901597858353
Viet Nam,15.9266657,107.9650855
Vanuatu,-16.5255069,168.1069154
World,33.9744819,-118.269835
Samoa,-13.7693895,-172.12005
Kosovo,42.5869578,20.9021231
"Yemen, Rep.",,
South Africa,-28.8166236,24.991639
Zambia,-14.5189121,27.5589884
Zimbabwe,-18.4554963,29.7468414
